"probe_id","chr","pos","UCSC_RefGene_Name","Relation_to_Island","array"
"cg07957491","chr9",134407190,"UCK1;UCK1","S_Shore","EPIC"
"cg06638811","chr9",137030555,"RNU6ATAC","Island","EPIC"
"cg03997643","chr9",137030726,"RNU6ATAC","S_Shore","EPIC"
"cg10317175","chr10",25247855,"","OpenSea","EPIC"
"cg07104958","chr10",46168551,"ANUBL1;ANUBL1","Island","EPIC"
"cg23444264","chr10",72219751,"","S_Shore","EPIC"
"cg17485681","chr10",73565625,"CDH23","Island","EPIC"
"cg16407699","chr10",74020428,"","N_Shore","EPIC"
"cg19939077","chr10",81108060,"PPIF","S_Shore","EPIC"
"cg03599037","chr10",82172508,"C10orf58;C10orf58","S_Shelf","EPIC"
"cg06996423","chr10",105236233,"CALHM3","S_Shelf","EPIC"
"cg05457221","chr10",134272437,"","OpenSea","EPIC"
"cg10665488","chr11",796569,"SLC25A22","N_Shore","EPIC"
"cg23299618","chr11",45102239,"","OpenSea","EPIC"
"cg12616487","chr11",62379063,"ROM1;EML3","N_Shore","EPIC"
"cg16977872","chr11",64008132,"FKBP2;FKBP2;FKBP2","N_Shore","EPIC"
"cg10816169","chr11",66080868,"","Island","EPIC"
"cg08962271","chr11",67273496,"PITPNM1;PITPNM1","N_Shore","EPIC"
"cg17058475","chr11",68607737,"CPT1A;CPT1A","N_Shore","EPIC"
"cg22986999","chr11",68781976,"MRGPRF;MRGPRF","S_Shelf","EPIC"
"cg08115371","chr11",79115706,"ODZ4","OpenSea","EPIC"
"cg10010533","chr11",82445170,"FAM181B","S_Shore","EPIC"
"cg03331229","chr11",102821111,"MMP13","OpenSea","EPIC"
"cg18282388","chr11",129716470,"TMEM45B","OpenSea","EPIC"
"cg14741228","chr12",31476479,"FAM60A;FAM60A;FLJ13224;FAM60A","N_Shore","EPIC"
"cg13442969","chr12",68044208,"DYRK2;DYRK2","S_Shore","EPIC"
"cg01687189","chr12",102225365,"GNPTAB","S_Shore","EPIC"
"cg23975840","chr12",117042895,"","OpenSea","EPIC"
"cg02499214","chr12",122230490,"RHOF","N_Shore","EPIC"
"cg26829071","chr12",131590596,"GPR133","OpenSea","EPIC"
"cg00986580","chr14",22951241,"","OpenSea","EPIC"
"cg16702313","chr14",74251926,"C14orf43","N_Shore","EPIC"
"cg15821562","chr14",90083275,"FOXN3","N_Shelf","EPIC"
"cg24754633","chr14",91831327,"CCDC88C","OpenSea","EPIC"
"cg20303561","chr14",91881497,"CCDC88C","N_Shore","EPIC"
"cg18125510","chr14",100841768,"WARS;WDR25;WARS;WARS;WDR25;WARS;WARS;WARS","N_Shore","EPIC"
"cg02394812","chr15",44092488,"SERINC4;C15orf63","N_Shore","EPIC"
"cg23893460","chr15",72492422,"PKM2;PKM2;PKM2","S_Shelf","EPIC"
"cg23166988","chr16",2070861,"","Island","EPIC"
"cg23654112","chr16",2525928,"TBC1D24","Island","EPIC"
"cg09175009","chr16",10912699,"FAM18A","Island","EPIC"
"cg08766770","chr16",28123059,"XPO6","OpenSea","EPIC"
"cg05683445","chr16",28303182,"SBK1","N_Shore","EPIC"
"cg12688670","chr16",29801602,"KIF22","N_Shore","EPIC"
"cg08916477","chr16",30391350,"SEPT1","S_Shore","EPIC"
"cg10121429","chr16",75466707,"CFDP1","N_Shore","EPIC"
"cg04491089","chr16",84151300,"MBTPS1","S_Shore","EPIC"
"cg21870662","chr17",2241570,"SGSM2;TSR1;SGSM2","S_Shore","EPIC"
"cg01620757","chr17",4635229,"MED11","Island","EPIC"
"cg16696035","chr17",17126176,"FLCN;FLCN","S_Shore","EPIC"
"cg09155905","chr17",33447236,"FNDC8;RAD51L3;RAD51L3;RAD51L3","S_Shore","EPIC"
"cg17757575","chr17",34068891,"RASL10B","S_Shore","EPIC"
"cg27492942","chr17",36885965,"CISD3;MLLT6","N_Shore","EPIC"
"cg21626848","chr17",39969267,"SC65;FKBP10;FKBP10","S_Shore","EPIC"
"cg08677210","chr17",55550613,"MSI2;MSI2","OpenSea","EPIC"
"cg06940168","chr17",64370665,"PRKCA","OpenSea","EPIC"
"cg15253293","chr17",79366853,"","Island","EPIC"
"cg22332722","chr18",25754857,"CDH2","N_Shore","EPIC"
"cg01859460","chr19",2273050,"OAZ1","Island","EPIC"
"cg01614597","chr19",14185403,"LOC113230","Island","EPIC"
"cg02489552","chr19",15121531,"CCDC105","N_Shore","EPIC"
"cg03524354","chr19",54301639,"NLRP12;NLRP12","OpenSea","EPIC"
"cg08559712","chr20",16030674,"MACROD2;MACROD2","OpenSea","EPIC"
"cg03184011","chr20",39945503,"","N_Shore","EPIC"
"cg09365259","chr22",18594196,"TUBA8","Island","EPIC"
"cg03013276","chr22",24058932,"LOC91316","N_Shore","EPIC"
"cg14588638","chr22",29665400,"EWSR1;EWSR1;EWSR1;EWSR1;RHBDD3;EWSR1","S_Shore","EPIC"
"cg03954858","chr22",40404957,"FAM83F","OpenSea","EPIC"
"cg04134965","chr22",44423205,"PARVB;PARVB","S_Shelf","EPIC"
"cg00716016","chr9",3180374,"","N_Shore","EPIC"
"cg00103778","chr20",30196041,"","N_Shore","EPIC"
"cg08688548","chr15",83317398,"CPEB1","Island","EPIC"
"cg09191335","chr20",35241157,"SLA2;SLA2","OpenSea","EPIC"
"cg15049370","chr5",149186389,"PPARGC1B","OpenSea","EPIC"
"cg13121938","chr13",114871497,"RASA3","S_Shore","EPIC"
"cg25221975","chr3",13663444,"FBLN2;FBLN2;FBLN2","OpenSea","EPIC"
"cg02256576","chr16",66995192,"CES3;CES3","OpenSea","EPIC"
"cg01883662","chr3",196065289,"TM4SF19","OpenSea","EPIC"
"cg07387591","chr20",17208649,"PCSK2","Island","EPIC"
"cg01001791","chr22",41924687,"POLR3H;ACO2;POLR3H;POLR3H","OpenSea","EPIC"
"cg13706315","chr9",134724316,"","OpenSea","EPIC"
"cg03523740","chr1",32645027,"TXLNA","N_Shore","EPIC"
"cg27477373","chr19",56879645,"ZNF542;ZNF542;ZNF542;ZNF542","Island","EPIC"
"cg05303280","chr15",51632611,"GLDN","N_Shore","EPIC"
"cg23028286","chr15",51614521,"CYP19A1;CYP19A1","OpenSea","EPIC"
"cg03458172","chr3",157815672,"SHOX2;SHOX2;SHOX2","Island","EPIC"
"cg18076842","chr11",93262607,"C11orf75","OpenSea","EPIC"
"cg19825437","chr3",169383292,"","N_Shelf","EPIC"
"cg00717678","chr17",1554577,"PRPF8;RILP","S_Shore","EPIC"
"cg09801924","chr11",65425948,"RELA;RELA","OpenSea","EPIC"
"cg24135793","chr19",13122567,"NFIX","Island","EPIC"
"cg14718379","chr7",71806067,"CALN1","S_Shelf","EPIC"
"cg01373932","chr6",31502462,"BAT1;BAT1","OpenSea","EPIC"
"cg12680071","chr19",36139062,"COX6B1","S_Shelf","EPIC"
"cg01005506","chr10",64565768,"ADO;ADO","Island","EPIC"
"cg26103104","chr5",139490895,"","N_Shore","EPIC"
"cg22007110","chr7",30737599,"","OpenSea","EPIC"
"cg09284949","chr19",51190179,"SHANK1","S_Shore","EPIC"
"cg09635954","chr7",29605624,"PRR15","N_Shore","EPIC"
"cg22499893","chr1",24307535,"SFRS13A;SFRS13A","S_Shore","EPIC"
"cg23728471","chr17",42345689,"SLC4A1","OpenSea","EPIC"
"cg20732160","chr3",48590040,"PFKFB4","N_Shelf","EPIC"
"cg01278873","chr19",44764101,"ZNF233;ZNF233","Island","EPIC"
"cg21550372","chr14",100908908,"WDR25;WDR25","OpenSea","EPIC"
"cg00256932","chr22",51041732,"MAPK8IP2;MAPK8IP2","N_Shore","EPIC"
"cg03546163","chr6",35654363,"FKBP5;FKBP5;FKBP5;FKBP5","N_Shore","EPIC"
"cg14395885","chr9",130700923,"DPM2","S_Shore","EPIC"
"cg16423756","chr11",122526190,"UBASH3B","N_Shore","EPIC"
"cg00359465","chr1",2004346,"PRKCZ;PRKCZ","N_Shore","EPIC"
"cg18487598","chr5",178735372,"ADAMTS2;ADAMTS2","OpenSea","EPIC"
"cg10381071","chr15",70391035,"TLE3;TLE3;TLE3","Island","EPIC"
"cg20970380","chr1",116676103,"C1orf161","OpenSea","EPIC"
"cg02538135","chr19",2200125,"DOT1L","Island","EPIC"
"cg07866212","chr8",23836952,"","OpenSea","EPIC"
"cg11704631","chr21",36395663,"RUNX1","N_Shelf","EPIC"
"cg07769421","chr17",80816851,"TBCD","N_Shore","EPIC"
"cg23747342","chr12",25539794,"","S_Shore","EPIC"
"cg15690475","chr17",44101453,"MAPT;MAPT;MAPT;MAPT;MAPT;MAPT","OpenSea","EPIC"
"cg26841068","chr1",203456691,"PRELP;PRELP","N_Shore","EPIC"
"cg17953300","chr11",65418265,"SIPA1;SIPA1","N_Shore","EPIC"
"cg25673668","chr8",895601,"","S_Shore","EPIC"
"cg03401875","chr5",178684658,"ADAMTS2;ADAMTS2","Island","EPIC"
"cg21786227","chr1",154951605,"CKS1B;CKS1B","OpenSea","EPIC"
"cg19731612","chr5",176559334,"NSD1;NSD1","Island","EPIC"
"cg10891521","chr17",81047941,"METRNL","Island","EPIC"
"cg15636519","chr2",191894418,"STAT4","OpenSea","EPIC"
"cg06937549","chr5",179046350,"HNRNPH1","N_Shelf","EPIC"
"cg03404339","chr12",52639319,"KRT7","Island","EPIC"
"cg10803871","chr5",174082675,"","OpenSea","EPIC"
"cg03163545","chr16",1593415,"IFT140;TMEM204","S_Shore","EPIC"
"cg18289746","chr6",112408679,"TUBE1;C6orf225;TUBE1;C6orf225","Island","EPIC"
"cg21194066","chr11",67052509,"ADRBK1","Island","EPIC"
"cg01182455","chr9",131313189,"","N_Shore","EPIC"
"cg06232845","chr7",133625048,"EXOC4","OpenSea","EPIC"
"cg14259466","chr10",135090997,"ADAM8;ADAM8;ADAM8","S_Shore","EPIC"
"cg11697038","chr1",27931284,"AHDC1","S_Shore","EPIC"
"cg09482421","chr6",27470541,"","OpenSea","EPIC"
"cg01881182","chr16",8806531,"ABAT;ABAT","OpenSea","EPIC"
"cg10035272","chr6",142467043,"VTA1","N_Shore","EPIC"
"cg19939130","chr1",158978468,"IFI16","OpenSea","EPIC"
"cg02633398","chr16",88974944,"CBFA2T3;CBFA2T3","N_Shore","EPIC"
"cg27017993","chr14",74814040,"C14orf115","OpenSea","EPIC"
"cg08250921","chr16",88111009,"","S_Shore","EPIC"
"cg26284735","chr3",5065165,"","N_Shelf","EPIC"
"cg15033653","chr12",113587581,"CCDC42B","N_Shelf","EPIC"
"cg26340050","chr14",105771879,"","S_Shelf","EPIC"
"cg27155460","chr10",45420821,"TMEM72","OpenSea","EPIC"
"cg13866253","chr11",77093001,"PAK1;PAK1","OpenSea","EPIC"
"cg23352030","chr20",62198469,"PRIC285;PRIC285","Island","EPIC"
"cg19536127","chr2",47404286,"CALM2","S_Shore","EPIC"
"cg01156249","chr16",4714794,"MGRN1;MGRN1;MGRN1;MGRN1","OpenSea","EPIC"
"cg04978583","chr1",12091409,"MIIP","OpenSea","EPIC"
"cg18121224","chr5",176559563,"NSD1;NSD1","Island","EPIC"
"cg00407659","chr5",150538414,"ANXA6;ANXA6","S_Shore","EPIC"
"cg08695062","chr5",53813260,"SNX18;SNX18;SNX18","N_Shore","EPIC"
"cg02314339","chr10",91020653,"","OpenSea","EPIC"
"cg03887584","chr10",98130310,"TLL2","OpenSea","EPIC"
"cg08307171","chr19",1957775,"CSNK1G2","Island","EPIC"
"cg21845080","chr3",196065306,"TM4SF19","OpenSea","EPIC"
"cg07912416","chr6",30860130,"DDR1;DDR1;DDR1","OpenSea","EPIC"
"cg13547518","chr2",2653590,"","N_Shore","EPIC"
"cg10603800","chr17",80408909,"C17orf62;C17orf62;C17orf62","S_Shore","EPIC"
"cg11494699","chr11",36588217,"RAG1","OpenSea","EPIC"
"cg25746394","chr19",45450501,"APOC2","OpenSea","EPIC"
"cg15326297","chr2",235464680,"","OpenSea","EPIC"
"cg22537604","chr19",43857074,"CD177","OpenSea","EPIC"
"cg10361922","chr17",40925790,"VPS25","OpenSea","EPIC"
"cg13341668","chr3",50359909,"HYAL2;HYAL2","Island","EPIC"
"cg11899596","chr8",145663791,"NFKBIL2","S_Shore","EPIC"
"cg03394159","chr8",29197844,"DUSP4;DUSP4","S_Shelf","EPIC"
"cg20414364","chr5",1608614,"LOC728613","OpenSea","EPIC"
"cg19525078","chr12",29581042,"OVCH1","OpenSea","EPIC"
"cg22496559","chr3",196065318,"TM4SF19","OpenSea","EPIC"
"cg01628467","chr17",7037406,"","OpenSea","EPIC"
"cg19821589","chr2",170591199,"KLHL23","S_Shore","EPIC"
"cg06059663","chr1",245319431,"KIF26B","Island","EPIC"
"cg14014731","chr9",19378679,"RPS6","N_Shore","EPIC"
"cg01017397","chr7",955497,"ADAP1","OpenSea","EPIC"
"cg01877260","chr15",38845483,"RASGRP1;RASGRP1","OpenSea","EPIC"
"cg08204159","chr19",54642290,"CNOT3","Island","EPIC"
"cg06825661","chr18",13260398,"C18orf1;C18orf1","N_Shore","EPIC"
"cg11302401","chr6",6688847,"","OpenSea","EPIC"
"cg26687579","chr1",2243111,"","N_Shelf","EPIC"
"cg22503354","chr12",7341644,"PEX5;PEX5;PEX5;PEX5;PEX5","N_Shore","EPIC"
"cg18595324","chr1",31838695,"FABP3","OpenSea","EPIC"
"cg22954438","chr3",23548050,"UBE2E2","OpenSea","EPIC"
"cg20283107","chr8",124788969,"FAM91A1","OpenSea","EPIC"
"cg13836098","chr6",26225268,"HIST1H3E","N_Shore","EPIC"
"cg23684449","chr16",46919194,"GPT2;GPT2;GPT2","S_Shore","EPIC"
"cg12474798","chr10",64565772,"ADO;ADO","Island","EPIC"
"cg18068637","chr5",168245286,"SLIT3","OpenSea","EPIC"
"cg11791144","chr8",32129319,"NRG1","OpenSea","EPIC"
"cg02346737","chr5",142490096,"ARHGAP26;ARHGAP26","OpenSea","EPIC"
"cg15329179","chr5",131993728,"IL13","S_Shore","EPIC"
"cg06549901","chr16",55851316,"CES1;CES1;CES1","OpenSea","EPIC"
"cg01022780","chr3",48598236,"","S_Shelf","EPIC"
"cg11724472","chr2",12249222,"","OpenSea","EPIC"
"cg11599718","chr12",123357128,"VPS37B","OpenSea","EPIC"
"cg10692140","chr6",30496072,"","OpenSea","EPIC"
"cg02171825","chr1",26517586,"CATSPER4","OpenSea","EPIC"
"cg18120259","chr6",43894639,"LOC100132354","OpenSea","EPIC"
"cg07375256","chr7",99222196,"ZNF498","OpenSea","EPIC"
"cg22304262","chr19",47287778,"SLC1A5;SLC1A5;SLC1A5","N_Shelf","EPIC"
"cg24134897","chr11",859670,"TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4","S_Shore","EPIC"
"cg20146909","chr1",90289611,"LRRC8D;LRRC8D","S_Shelf","EPIC"
"cg16615058","chr16",31161005,"PRSS36","S_Shore","EPIC"
"cg07167185","chr1",24120017,"LYPLA2","S_Shelf","EPIC"
"cg24707200","chr1",156833163,"NTRK1;NTRK1;NTRK1","S_Shelf","EPIC"
"cg19458497","chr11",63403371,"ATL3","OpenSea","EPIC"
"cg03877174","chr17",4923126,"KIF1C","OpenSea","EPIC"
"cg04460609","chr4",16532808,"LDB2;LDB2","OpenSea","EPIC"
"cg27546431","chr17",1372751,"MYO1C;MYO1C;MYO1C","N_Shelf","EPIC"
"cg00116699","chr2",240205260,"HDAC4","OpenSea","EPIC"
"cg26959945","chr7",20233217,"MACC1","OpenSea","EPIC"
"cg18763536","chr12",11812062,"ETV6","OpenSea","EPIC"
"cg03068497","chr7",30635838,"GARS","S_Shore","EPIC"
"cg03260624","chr1",91970722,"CDC7;CDC7;CDC7","S_Shelf","EPIC"
"cg09940677","chr14",103415458,"CDC42BPB","OpenSea","EPIC"
"cg04800503","chr17",46648533,"HOXB3","OpenSea","EPIC"
"cg24711224","chr5",176561865,"NSD1;NSD1","S_Shore","EPIC"
"cg17962756","chr5",172769199,"","OpenSea","EPIC"
"cg10179004","chr3",48601902,"COL7A1;UCN2","OpenSea","EPIC"
"cg23205886","chr5",138611766,"SNHG4;MATR3","S_Shore","EPIC"
"cg05194114","chr15",43477396,"CCNDBP1;CCNDBP1;CCNDBP1;CCNDBP1","N_Shore","EPIC"
"cg15664462","chr3",151996146,"MBNL1;MBNL1","OpenSea","EPIC"
"cg26599989","chr11",1297087,"TOLLIP","N_Shore","EPIC"
"cg23598378","chr6",42072986,"C6orf132","S_Shore","EPIC"
"cg03967798","chr4",145268453,"","OpenSea","EPIC"
"cg09652746","chr16",67225437,"E2F4;EXOC3L","OpenSea","EPIC"
"cg08857797","chr17",40927699,"VPS25","OpenSea","EPIC"
"cg24628310","chr3",52813873,"ITIH1;ITIH1;ITIH1;ITIH1","OpenSea","EPIC"
"cg08545213","chr3",37959356,"CTDSPL;CTDSPL","OpenSea","EPIC"
"cg03045648","chr11",64535598,"SF1;SF1;SF1","S_Shore","EPIC"
"cg17466510","chr1",116877566,"","OpenSea","EPIC"
"cg14817906","chr2",97466833,"CNNM4","OpenSea","EPIC"
"cg08317252","chr19",1223163,"STK11","N_Shelf","EPIC"
"ch.3.82259654F","chr3",82176964,"","OpenSea","EPIC"
"cg18912103","chr4",2944692,"C4orf10;NOP14","OpenSea","EPIC"
"cg08122070","chr1",1689610,"NADK","N_Shelf","EPIC"
"cg12137220","chr17",19220813,"EPN2;EPN2;EPN2","OpenSea","EPIC"
"cg05261851","chr16",68001206,"SLC12A4;SLC12A4;SLC12A4;SLC12A4","N_Shore","EPIC"
"cg09365924","chr12",53611399,"RARG;RARG","N_Shelf","EPIC"
"cg03788408","chr16",4441939,"CORO7","OpenSea","EPIC"
"cg26335760","chr3",133606960,"RAB6B","OpenSea","EPIC"
"cg06323483","chr3",134936427,"EPHB1","OpenSea","EPIC"
"cg09924669","chr16",1593214,"IFT140;TMEM204","S_Shore","EPIC"
"cg01425762","chr16",81666633,"CMIP;CMIP","OpenSea","EPIC"
"cg13921420","chr13",27551747,"","OpenSea","EPIC"
"cg07869232","chr13",114790349,"RASA3","S_Shelf","EPIC"
"cg18702971","chr22",29920546,"THOC5;THOC5;THOC5;THOC5","OpenSea","EPIC"
"cg12670943","chr22",43006541,"POLDIP3;POLDIP3","N_Shelf","EPIC"
"cg15893295","chr6",14277043,"","OpenSea","EPIC"
"cg02888894","chr20",62660605,"PRPF6","N_Shore","EPIC"
"cg17910470","chr17",76795278,"USP36","N_Shelf","EPIC"
"cg02131674","chr5",17341065,"","OpenSea","EPIC"
"cg23448998","chr17",17110353,"PLD6","S_Shore","EPIC"
"cg26852404","chr2",3640456,"","N_Shelf","EPIC"
"cg14334350","chr9",139400168,"NOTCH1","Island","EPIC"
"cg09259843","chr2",25452362,"","OpenSea","EPIC"
"cg23598480","chr2",60102800,"","OpenSea","EPIC"
"cg07349663","chr1",160261619,"COPA;COPA","OpenSea","EPIC"
"cg17749033","chr17",80197412,"","S_Shore","EPIC"
"cg17237086","chr22",40814966,"MKL1","Island","EPIC"
"cg23777956","chr19",4153671,"CREB3L3;CREB3L3","OpenSea","EPIC"
"cg22052143","chr5",78067856,"","OpenSea","EPIC"
"cg18770579","chr19",50191342,"C19orf76;PRMT1;PRMT1;PRMT1","Island","EPIC"
"cg03373887","chr22",44389424,"SAMM50","N_Shelf","EPIC"
"cg06926362","chr19",3224848,"BRUNOL5","Island","EPIC"
"cg07799005","chr11",65265684,"MALAT1","S_Shore","EPIC"
"cg24540678","chr8",28258603,"","N_Shore","EPIC"
"cg01940273","chr2",233284934,"","Island","EPIC"
"cg23599026","chr10",102268546,"SEC31B","OpenSea","EPIC"
"cg09535960","chr8",23193704,"LOXL2","OpenSea","EPIC"
"cg19267205","chr1",9781963,"PIK3CD","OpenSea","EPIC"
"cg04310331","chr11",2012332,"LOC100133545","N_Shore","EPIC"
"cg07690768","chr12",32370933,"BICD1;BICD1","OpenSea","EPIC"
"cg11129609","chr6",33247250,"WDR46;WDR46","S_Shore","EPIC"
"cg03393889","chr16",2094700,"NTHL1","N_Shelf","EPIC"
"cg25009842","chr6",157505558,"ARID1B;ARID1B;ARID1B","OpenSea","EPIC"
"cg24238409","chr10",93998677,"CPEB3","N_Shore","EPIC"
"cg00923634","chr1",25968448,"MAN1C1","OpenSea","EPIC"
"cg24408776","chr1",203098067,"ADORA1;ADORA1","S_Shore","EPIC"
"cg02237172","chr3",50380958,"ZMYND10","N_Shore","EPIC"
"cg03217115","chr2",118942841,"","N_Shore","EPIC"
"cg11095027","chr11",1297066,"TOLLIP","N_Shore","EPIC"
"cg16274890","chr3",127299325,"TPRA1;TPRA1;TPRA1","OpenSea","EPIC"
"cg03896269","chr1",180447588,"ACBD6","OpenSea","EPIC"
"cg02097604","chr17",17750910,"TOM1L2;TOM1L2","OpenSea","EPIC"
"cg01304182","chr16",30409908,"ZNF48","N_Shore","EPIC"
"cg16969872","chr13",79968324,"RBM26","OpenSea","EPIC"
"cg15544402","chr2",24299646,"SF3B14","N_Shore","EPIC"
"cg23511909","chr3",128340787,"RPN1","S_Shelf","EPIC"
"cg05203855","chr19",7994445,"TIMM44","N_Shelf","EPIC"
"cg16526705","chr19",17284481,"MYO9B;MYO9B","S_Shore","EPIC"
"cg14024242","chr9",1042869,"","Island","EPIC"
"cg22730029","chr13",41593582,"ELF1","OpenSea","EPIC"
"cg15848159","chr4",85791643,"WDFY3;WDFY3","OpenSea","EPIC"
"cg24301690","chr3",128712676,"KIAA1257","Island","EPIC"
"cg16008966","chr1",114761794,"","OpenSea","EPIC"
"cg22425466","chr9",140115987,"RNF208","Island","EPIC"
"cg03107987","chr19",3481960,"C19orf77","Island","EPIC"
"cg05991220","chr3",52813859,"ITIH1;ITIH1;ITIH1;ITIH1","OpenSea","EPIC"
"cg11624345","chr19",44278551,"KCNN4","Island","EPIC"
"cg00247963","chr16",20863151,"","OpenSea","EPIC"
"cg25302603","chr11",65392829,"PCNXL3","OpenSea","EPIC"
"cg11370064","chr3",78318277,"","OpenSea","EPIC"
"cg14205864","chr13",113841719,"PCID2;PCID2;PCID2","OpenSea","EPIC"
"cg12269535","chr6",43142014,"SRF","Island","EPIC"
"cg06829760","chr2",16845412,"FAM49A","OpenSea","EPIC"
"cg03734391","chr19",56182200,"U2AF2;U2AF2","N_Shelf","EPIC"
"cg21048162","chr14",75988356,"BATF","OpenSea","EPIC"
"cg14679780","chr19",4059525,"ZBTB7A","N_Shore","EPIC"
"cg09585333","chr11",65340843,"FAM89B;FAM89B;FAM89B","N_Shore","EPIC"
"cg21925493","chr9",95858671,"C9orf89","Island","EPIC"
"cg06186155","chr17",46648582,"HOXB3","OpenSea","EPIC"
"cg04569152","chr14",21555603,"FLJ10357","N_Shelf","EPIC"
"cg12182124","chr18",21451563,"LAMA3;LAMA3;LAMA3;LAMA3","OpenSea","EPIC"
"cg19925599","chr3",126857123,"","S_Shelf","EPIC"
"cg18432441","chr11",8106632,"TUB;TUB","S_Shelf","EPIC"
"cg10142520","chr11",65344604,"EHBP1L1","S_Shore","EPIC"
"cg20941894","chr5",17147858,"LOC285696","OpenSea","EPIC"
"cg03286774","chr16",89590357,"SPG7;SPG7","S_Shore","EPIC"
"cg10370262","chr7",151396512,"PRKAG2;PRKAG2","OpenSea","EPIC"
"cg04682775","chr1",44495089,"SLC6A9","N_Shore","EPIC"
"cg19668951","chr11",47430812,"SLC39A13;SLC39A13","S_Shore","EPIC"
"cg18482892","chr3",56833426,"ARHGEF3;ARHGEF3","N_Shelf","EPIC"
"cg00210249","chr10",71135679,"HK1;HK1;HK1;HK1;HK1","OpenSea","EPIC"
"cg07252792","chr22",21987048,"CCDC116","S_Shelf","EPIC"
"cg23325384","chr2",223724754,"ACSL3;ACSL3","N_Shore","EPIC"
"cg06230847","chr6",30297594,"TRIM39;TRIM39","S_Shelf","EPIC"
"cg22467468","chr19",19774512,"ATP13A1","Island","EPIC"
"cg09823543","chr6",43146056,"SRF","N_Shelf","EPIC"
"cg01137537","chr1",162039502,"NOS1AP;NOS1AP","Island","EPIC"
"cg23036683","chr5",67512108,"","Island","EPIC"
"cg02101876","chr13",40765110,"","OpenSea","EPIC"
"cg18806193","chr5",1338909,"CLPTM1L","N_Shore","EPIC"
"cg19510478","chr18",55296904,"","N_Shore","EPIC"
"cg02506360","chr16",46963989,"GPT2;GPT2","OpenSea","EPIC"
"cg11064833","chr7",134361658,"BPGM;BPGM","OpenSea","EPIC"
"cg05112617","chr3",93698932,"ARL13B;ARL13B","Island","EPIC"
"cg05307301","chr1",41268493,"KCNQ4;KCNQ4","S_Shore","EPIC"
"cg09245003","chr17",695428,"RNMTL1","OpenSea","EPIC"
"cg00263146","chr5",17221971,"BASP1","S_Shelf","EPIC"
"cg24334029","chr20",58296208,"PHACTR3;PHACTR3;PHACTR3","OpenSea","EPIC"
"cg27230067","chr1",77933593,"AK5;AK5","OpenSea","EPIC"
"cg11100157","chr5",16738049,"MYO10","OpenSea","EPIC"
"cg16951566","chr3",39093671,"WDR48","Island","EPIC"
"cg04010446","chr6",162311879,"PARK2;PARK2;PARK2","OpenSea","EPIC"
"cg22753611","chr6",17472892,"CAP2","OpenSea","EPIC"
"cg27658698","chr5",175955578,"RNF44","OpenSea","EPIC"
"cg18939928","chr19",1407468,"DAZAP1;DAZAP1","Island","EPIC"
"cg07807757","chr7",50894570,"","OpenSea","EPIC"
"cg03538383","chr12",110399167,"GIT2;GIT2;GIT2;GIT2;GIT2;GIT2","OpenSea","EPIC"
"cg25471715","chr8",144129543,"C8orf31","OpenSea","EPIC"
"cg18141744","chr11",69924156,"ANO1","N_Shore","EPIC"
"cg10653926","chr19",1069320,"HMHA1","N_Shore","EPIC"
"cg27144670","chr15",52161438,"TMOD3","OpenSea","EPIC"
"cg04110886","chr1",10675575,"PEX14","OpenSea","EPIC"
"cg07059784","chr2",233416233,"TIGD1;EIF4E2","S_Shore","EPIC"
"cg05039671","chr4",40245120,"RHOH","OpenSea","EPIC"
"cg05337019","chr1",16062361,"SLC25A34","S_Shelf","EPIC"
"cg06978145","chr20",30754792,"TM9SF4","OpenSea","EPIC"
"cg03393105","chr2",95788109,"MRPS5","S_Shore","EPIC"
"cg13784276","chr9",139103646,"QSOX2","OpenSea","EPIC"
"cg24208206","chr3",46036571,"FYCO1","N_Shore","EPIC"
"cg19010846","chr3",185653035,"TRA2B","N_Shelf","EPIC"
"cg16544989","chr16",85600639,"","OpenSea","EPIC"
"cg00574958","chr11",68607622,"CPT1A;CPT1A","N_Shore","EPIC"
"cg06906869","chr13",52734154,"NEK3;NEK3;NEK3;NEK3","S_Shore","EPIC"
"cg11719283","chr19",42574717,"","OpenSea","EPIC"
"cg02874605","chr12",100661778,"DEPDC4;SCYL2","S_Shore","EPIC"
"cg25886382","chr13",26760664,"","Island","EPIC"
"cg16119274","chr16",82204391,"MPHOSPH6","S_Shore","EPIC"
"cg21488617","chr1",38022586,"DNALI1","Island","EPIC"
"cg13287553","chr7",4784419,"FOXK1","N_Shore","EPIC"
"cg04503500","chr11",77158423,"PAK1;PAK1","OpenSea","EPIC"
"cg20292636","chr1",204328377,"PLEKHA6","OpenSea","EPIC"
"cg23418510","chr10",25240660,"PRTFDC1","N_Shore","EPIC"
"cg25312876","chr19",5151581,"KDM4B","Island","EPIC"
"cg07091529","chr2",16804409,"FAM49A","OpenSea","EPIC"
"cg17580045","chr12",4384890,"CCND2","S_Shore","EPIC"
"cg27225570","chr20",30458267,"DUSP15;TTLL9;DUSP15;DUSP15;DUSP15","Island","EPIC"
"cg01593673","chr17",46648014,"HOXB3","OpenSea","EPIC"
"cg25298596","chr12",91502248,"LUM","OpenSea","EPIC"
"cg26159832","chr14",103822211,"","OpenSea","EPIC"
"cg14625975","chr9",139909019,"ABCA2;ABCA2","N_Shore","EPIC"
"cg24102360","chr19",14801145,"ZNF333","Island","EPIC"
